Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
32,136,Song of Solomon,Toni Morrison,1977,American,English,337-372,92944,335,982,"Coming of age, Drama, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","African American, Community, Death, Family, Family dynamics, Flight, Love, Myth, Racism, Violence, heritage","Michigan, United States"
33,2448,The Savage Detectives,Roberto Bolaño,1998,Chilean,Spanish,500-600,208000,347,951,"Experimental, Fiction, Literary Fiction, Magical Realism, Picaresque, Postmodern, Social & Cultural Fiction","Obsession, Search, Youth, rebellion","Latin American, Mexico, Mexico City"
34,46,Infinite Jest,David Foster Wallace,1996,American,English,1079,543000,352,938,"Dark, Encyclopedic, Experimental, Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction","Addiction, Entertainment, Identity, Psychology & Mental Health, Technology, competition, consumerism, depression, isolation",Fictional Location
35,43,Housekeeping,Marilynne Robinson,1980,American,English,200-300,78000,381,876,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Tragedy","Abandonment, Death & Grief, Family, Family dynamics, Friendship, Loss, Memory, Mental illness, Mothers & Children, Nature, Siblings, Sisters, Survival, isolation","Fingerbone, United States"
36,371,The Brief Wondrous Life of Oscar Wao,Junot Diaz,2007,Dominican,English,300-400,207500,383,876,"Drama, Fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction","Culture, Curse, Dreams, Love, Violence, isolation, oppression","Dominican Republic, Latin American, New Jersey, United States"
37,103,His Dark Materials,Philip Pullman,1995,British,English,400-550,520000,384,874,"Adventure, Dystopian, Fantasy, Fiction, High Fantasy, Literary Fiction, Speculative Fiction, Young adult","Authority, Betrayal, Courage, Freedom, Identity, Science",Fictional Location
38,1282,The Shining,Stephen King,1977,American,English,447-659,163000,385,874,"Fiction, Horror, Mystery, Psychological, Speculative Fiction, Supernatural, Thriller & Suspense","Family, Madness, Murder, Psychic abilities, Violence, alcoholism, isolation",Fictional Location
39,366,Middlesex,Jeffrey Eugenides,2002,American,English,529,196000,387,873,"Coming of age, Fiction, Historical fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Culture, Gender and Sexuality, Genetics, Immigration, Intersex, Lgbtq+, Self-discovery, Sexuality, Teenagers, gender","Detroit, Michigan, United States"
40,98,White Noise,Don DeLillo,1985,American,English,300-400,78500,388,873,"Dark, Fiction, Literary Fiction, Picaresque, Postmodern, Social & Cultural Fiction","Death, Death & Grief, Education, Environment, Technology, consumerism, fear, health","Media, United States"
41,3,American Pastoral,Philip Roth,1997,American,English,423,145000,392,861,"Family & Relationships, Fiction, Literary Fiction, Political, Social & Cultural Fiction, Tragedy","American dream, Assimilation, Disillusionment, Family, Generational Conflict, Marines, Social change, Terrorism, Trauma, rebellion","New Jersey, Newark, United States, Vietnam War"
42,143,The World According to Garp,John Irving,1978,American,English,437-609,191473,398,842,"Coming of age, Dark, Fiction, Humor, Literary Fiction, Social & Cultural Fiction","Death, Feminism, Infidelity, Parenthood, Sexuality, Violence, writing","Fictional Location, United States"
43,2469,The Alchemist,Paulo Coelho,1988,Brazilian,Portuguese,163-208,45000,401,837,"Allegorical, Fiction, Literary Fiction, Magical Realism, Religion & Spirituality, philosophical","Alchemy, Christianity, Destiny, Dreams, Journey, Personal Legend, Self-discovery, Transformation","Egypt, Spain"
44,568,The God of Small Things,Arundhati Roy,1997,Indian,English,320,134000,402,830,"Drama, Family & Relationships, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Caste, Death, Family, Family dynamics, Love, Memory, Politics, Social Injustice, Trauma, Women's Studies, childhood","India, Kerala, United States"
45,391,The Human Stain,Philip Roth,2000,American,English,361,136000,408,818,"Drama, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, Tragedy","Academia, Guilt, History, Jewish, Jews, Prejudice, Redemption, Scandal, Secrecy, isolation, race, relationships","Fictional Location, Massachusetts, United States"
46,2037,A Visit From The Goon Squad,Jennifer Egan,2010,American,English,288-352,108000,421,794,"Drama, Fiction, Literary Fiction, Postmodern, Short Story Collection, Social & Cultural Fiction","Addiction, Fame, Music, Redemption, Regret, Technology, Time","New York, New York City, San Francisco, United States"
47,642,Wolf Hall,Hilary Mantel,2009,British,English,650-700,200000,425,790,"Drama, Fiction, Historical fiction, Literary Fiction, Political, Social & Cultural Fiction","Ambition, Betrayal, Death, European History, Family, History, Interpersonal relations, Intrigue, Law, Marriage, Politics, Power, medieval history","England, Great Britain, London"
48,1141,Underworld,Don DeLillo,1997,American,English,800-900,335000,429,786,"Encyclopedic, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction","Baseball, Memory, Technology, Violence, Waste, consumerism, nuclear weapons","Cold War, Media, New York, New York City, United States"
49,3341,My Brilliant Friend,Elena Ferrante,2012,American,Italian,330-400,70000,432,780,"Coming of age, Drama, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Ambition, Betrayal, Education, Family, Family dynamics, Friendship, Jealousy, Marriage, Violence, Women's Studies, class","Italy, Naples"
50,3340,Americanah,Chimamanda Ngozi Adichie,2013,Nigerian,English,477,151960,452,763,"Contemporary, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","African American, Culture, Education, Family, Friendship, Hair, Immigrants, Immigration, Love, Racism, blogging, class, race, relationships","Connecticut, Lagos, New York, Nigeria, Philadelphia, Princeton, United States"
51,1452,Cloud Atlas,David Mitchell,2004,British,English,509-544,172000,453,762,"Experimental, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction, Speculative Fiction","Connection, Freedom, Identity, Power, Reincarnation, Survival, oppression","Belgium, Fictional Location, Korea, Pacific Ocean, United Kingdom, United States"
52,6559,A Heart So White,Javier Marias,1992,Spanish,Spanish,280-320,95500,479,730,"Allegorical, Fiction, Literary Fiction, Modernist, Postmodern, Psychological","Communication, Death, Family, Guilt, Marriage, Trust, relationships, secrets","Cuba, Havana, Madrid, Spain"
53,368,Gilead,Marilynne Robinson,2004,American,English,247,84000,493,719,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Religion & Spirituality","Christianity, Conflict of generations, Faith, Family, Family dynamics, Fatherhood, Forgiveness, Friendship, Legacy, Memory, Mortality, race","Gilead, Iowa, United States"
54,1275,The Wind-Up Bird Chronicle,Haruki Murakami,1994,Japanese,Japanese,610-640,208000,496,716,"Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern, Psychological, philosophical","Disappearance, Dreams, History, Marriage, Memory, Politics, Psychology, Violence, War, cats, isolation, relationships","Japan, Tokyo"
55,619,"The Sea, The Sea",Iris Murdoch,1978,British,English,500-550,200000,498,714,"Allegorical, Drama, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction","Jealousy, Memory, Obsession, Redemption, Self-deception, Theater, isolation, relationships","England, London"
56,3183,Perfume,Patrick Suskind,1985,German,German,250-300,51000,501,709,"Fiction, Gothic, Historical fiction, Horror, Literary Fiction, Psychological, Speculative Fiction","Alchemy, Artistry, Madness, Murder, Obsession, Perfume, Psychopathy, Scent, isolation","France, Paris"
57,358,The Shipping News,Annie Proulx,1993,Canadian,English,300-350,98430,513,688,"Drama, Fiction, Literary Fiction, Sailors & The Sea, Social & Cultural Fiction","Community, Education, Family, Family dynamics, Grief, Journalism, Redemption, Resilience, Self-discovery, isolation, relationships","Canada, New York, Newfoundland, United States"
58,272,Waiting for the Barbarians,J. M. Coetzee,1980,South African,English,150-200,56000,524,674,"Allegorical, Fiction, Literary Fiction, Political, Psychological","Empathy, Humanity, Justice, Power, colonialism, conflict, fear, oppression","Africa, Fictional Location, South Africa"
59,15088,The Years,Annie Ernaux,2008,French,French,240-250,,532,667,"Memoir, Nonfiction","Aging, Culture, Family, History, Memory, Politics, Society, Time, class, consumerism, gender",France
60,351,Lonesome Dove,Larry McMurtry,1985,American,English,843,365712,535,666,"Absurdist, Fiction, Historical fiction, Westerns, epic","Courage, Family, Friendship, Legacy, Mortality, Redemption, Survival, isolation","Mexico, Texas, United States, West (U.S.)"
61,4568,The Silence of the Lambs,Thomas Harris,1988,American,English,350-450,110942,559,642,"Crime, Fiction, Horror, Mystery, Psychological, Speculative Fiction, Thriller & Suspense","Abduction, FBI, Forensics, Investigation, Murder, Psychiatry, Psychology & Mental Health, Psychopathy, cannibalism, serial killers","Quantico, United States, West Virginia"
62,332,A Prayer for Owen Meany,John Irving,1989,American,English,600-700,236061,572,629,"Coming of age, Drama, Fiction, Literary Fiction, Religion & Spirituality, Social & Cultural Fiction","Destiny, Faith, Friendship, History, Identity, Loss, Miracles, Sacrifice","Gravesend, New Hampshire, United States, Vietnam War"
63,334,The Pillars Of The Earth,Ken Follett,1989,British,English,800-1100,312000,573,628,"Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, epic","Ambition, Architecture, Betrayal, Christianity, European History, Family, History, Justice, Love, Power, Revenge, Survival, conflict, medieval history","England, Fictional Location, Great Britain"
64,159,Satanic Verses,Salman Rushdie,1988,British,English,200-600,143000,574,628,"Allegorical, Banned books, Fiction, Literary Fiction, Magical Realism, Postmodern, philosophical","Blasphemy, Christianity, Cultural Conflict, Exile, Faith, Identity, Migration, Transformation","England, India, London, United Kingdom"
65,663,"So Long, See You Tomorrow",William Maxwell,1980,American,English,135-160,59000,590,614,"Drama, Fiction, Historical fiction, Literary Fiction, Psychological, Realistic Fiction","Betrayal, Friendship, Grief, Guilt, Loss, Memory, Murder, Teenagers, childhood","Illinois, United States"
66,3347,"The Notebook, The Proof, The Third Lie",Agota Kristof,1986,Hungarian,French,300-400,,593,612,"Allegorical, Fiction, Literary Fiction, Modernist, Postmodern, Psychological","Deception, Family, Memory, Siblings, Survival, Trauma, Truth, Twins, War, World War II, isolation",Fictional Location
67,2118,American Psycho,Bret Easton Ellis,1991,American,English,384,203774,607,599,"Crime, Dark, Dark Humor, Fiction, Postmodern, Psychological, Thriller & Suspense","Corporate Culture, Economics, Materialism, Mental Health, Murder, Psychopathy, Violence, Wealth, consumerism, relationships","New York, New York City, United States"
68,5957,I Served The King Of England,Bohumil Hrabal,1983,Czech,Czech,250-300,42000,614,591,"Absurdist, Fiction, Literary Fiction, Picaresque, Satire, Social & Cultural Fiction","Ambition, Capitalism, Communism, Love, Power, Southern Gothic, War, class","Czech Republic, Prague"
69,1273,Dispatches,Michael Herr,1977,American,English,260-320,80000,632,580,"Drama, Memoir, Nonfiction, Political, military fiction","American History, Camaraderie, Chaos, History, Journalism, Mortality, Reportage, Survival, Trauma, War, fear","United States, Vietnam, Vietnam War"
70,1145,The Things They Carried,Tim O'Brien,1990,American,English,233,62000,634,578,"Allegorical, Fiction, Literary Fiction, Short Story Collection, Social & Cultural Fiction, military fiction","Courage, Death & Grief, Friendship, Guilt, Memory, Survival, War, fear","United States, Vietnam, Vietnam War"
71,2334,Stories of Ernest Hemingway,Ernest Hemingway,1987,American,English,650,,635,577,"Drama, Fiction, Literary Fiction, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Courage, Death & Grief, Friendship, History, Identity, Love, Nature, War, isolation, masculinity","Cuba, France, Italy, Spain, United States"
72,2892,The Elementary Particles,Michel Houellebecq,1998,French,French,250-350,95000,637,576,"Fiction, Literary Fiction, Postmodern, Satire, Social & Cultural Fiction, philosophical","Alienation, Existentialism, Family, Genetics, Modernity, Philosophy, Science, Sexuality, loneliness, relationships",France
73,3346,House of Leaves,Mark Z. Danielewski,2000,American,English,709,200000,638,576,"Encyclopedic, Experimental, Fiction, Horror, Magical Realism, Postmodern, Psychological, Speculative Fiction, metafiction","Architecture, Exploration, Grief, Madness, Narrative, Obsession, Paranoia, fear, reality, relationships",Fictional Location
74,3038,Interview with the Vampire,Anne Rice,1976,American,English,300-400,242000,639,575,"Fiction, Gothic, Horror, Literary Fiction, Speculative Fiction, Supernatural","Companionship, Death, Existentialism, Immortality, Novela, Power, Suffering, Vampires, loneliness, morality","Europe, France, Italy, Louisiana, New Orleans, Paris, United States"
75,347,The Stories of John Cheever,John Cheever,1978,American,English,700-800,200000,654,562,"Fiction, Literary Fiction, Modernist, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Alienation, Family dynamics, Identity, Infidelity, Nostalgia, Social Class, loneliness","New York, Suburban New York, Suburbia, United States"
76,1303,Persepolis,Marjane Satrapi,2000,French,French,153,,656,561,"Comics & Graphic Novels, Cultural, Memoir, Nonfiction, Political","Culture, European History, Freedom, History, Identity, Middle East History, Resistance, Revolution, oppression","Iran, Tehran"
77,2039,The Goldfinch,Donna Tartt,2013,American,English,760-784,305000,659,558,"Absurdist, Coming of age, Fiction, Historical fiction, Literary Fiction, Psychological","Addiction, Death & Grief, Family, Friendship, Grief, History, Loss, Survival, Trauma","Amsterdam, Las Vegas, Netherlands, New York, New York City, United States"
78,5741,Kindred,Octavia E. Butler,1979,American,English,264,60000,666,552,"Absurdist, Fiction, Historical fiction, Social & Cultural Fiction, Speculative Fiction","African American, African American History, Family, Family dynamics, Freedom, History, Power, Racism, Slavery, Survival, Time travel, Violence","California, Los Angeles, Maryland, Southern US, United States"
79,367,The Known World,Edward P. Jones,2003,American,English,388,138885,670,548,"Drama, Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction","African American, African American History, American History, Community, Death, Family, Freedom, History, Justice, Power, Slavery, Southern Gothic, morality, race","Manchester County, United States, Virginia"
80,560,Bridget Jones's Diary,Helen Fielding,1996,British,English,200-300,71000,678,545,"Chick Lit, Contemporary, Fiction, Humor, Romance","Career, Dating, Diaries, Diary, Family, Friendship, Humanities, Interpersonal relations, Love, Novela, Self-Improvement, Women's Studies, relationships","England, London"
81,2340,A Fine Balance,Rohinton Mistry,1995,Indian,English,600-750,192000,679,543,"Drama, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Caste System, Family, Friendship, Human rights, Injustice, Political Unrest, Poverty, Survival","Fictional Location, Hope, India, Mumbai"
82,3011,Nights At The Circus,Angela Carter,1984,British,English,295,135000,680,543,"Fiction, Literary Fiction, Magical Realism, Picaresque, Postmodern, Science fiction, Speculative Fiction, Steampunk","Circus, Feminism, Freedom, Love, Magic, Myth, Performance, Transformation","London, Russia, Siberia"
83,3236,The Feast of the Goat,Mario Vargas Llosa,2000,Peruvian,Spanish,400-500,137000,695,534,"Fiction, Historical fiction, Literary Fiction, Political, Psychological, Thriller & Suspense","Assassination, Dictatorship, History, Politics, Power, Revenge, Trauma, Violence, corruption, fear, oppression, rebellion","Dominican Republic, Santo Domingo"
84,1241,Bastard Out of Carolina,Dorothy Allison,1992,American,English,320,104000,698,533,"Coming of age, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Child abuse, Class Struggle, Family, Family dynamics, Lgbtq+, Poverty, Resilience, Southern Culture, Southern Gothic, Survival, Trauma, Violence, sexual abuse","Greenville, South Carolina, United States"
85,628,The English Patient,Michael Ondaatje,1992,Canadian,English,300-320,82000,704,531,"Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy","Betrayal, Friendship, Healing, Love, Memory, Survival, Trauma, War, World War II","Canada, Egypt, Italy"
86,1940,The Joy Luck Club,Amy Tan,1989,American,English,288-332,91084,712,526,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Culture, Death & Grief, Family, Family dynamics, Friendship, Generational Conflict, Immigration, Memory, Motherhood, Mothers & Children, Novela, Sacrifice, Storytelling, Women, Women's Studies, tradition","California, China, San Francisco, United States"
87,4541,Blonde,Joyce Carol Oates,2000,American,English,700-800,280000,725,518,"Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy","Addiction, Fame, Mental Health, Sexuality, abuse, loneliness, relationships","California, Hollywood, Los Angeles, United States"
88,589,All the Pretty Horses,Cormac McCarthy,1992,American,English,280-320,98000,728,517,"Coming of age, Fiction, Historical fiction, Literary Fiction, Westerns","Cowboys, Friendship, Horses, Justice, Love, Ranching, Violence","Mexico, Texas"
89,551,The Thorn Birds,Colleen McCullough,1977,Australian,English,500-700,197000,742,511,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Romance, Sagas","Ambition, Betrayal, Christianity, Family, Inheritance, Love, Sacrifice, conflict, relationships","Australia, Fictional Location, Greece, New South Wales, Rome"
90,3536,The Underground Railroad,Colson Whitehead,2016,American,English,300-400,87000,749,509,"Absurdist, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","African American, Alternate History, Courage, Escape, Freedom, Injustice, Racism, Slavery, Survival, Violence, oppression","Georgia, Hope, Indiana, North Carolina, South Carolina, Tennessee, United States"
91,4243,The Far Pavilions,Mary Margaret Kaye,1978,British,English,960-1180,960000,763,500,"Adventure, Fiction, Historical fiction, Romance, Sagas","Betrayal, Cultural Conflict, Duty, Friendship, Love, Loyalty, War, colonialism","Afghanistan, India"
92,1326,Roots,Alex Haley,1976,American,English,576-688,587287,768,497,"Biography, Fiction, Historical fiction, Social & Cultural Fiction","African American, African American History, American History, Culture, Ethics, Family, Family dynamics, Freedom, History, Perseverance, Racism, Resilience, Slavery, heritage","Africa, Annapolis, Gambia, Henning, Maryland, Southern US, Sub-Saharan Africa, Tennessee, United States"
93,349,Rabbit Is Rich,John Updike,1981,American,English,450-560,135000,769,497,"Contemporary, Drama, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Discontent, Family, Family dynamics, Infidelity, Marriage, Materialism, Middle Age, Parenting, Sexuality, Wealth","Brewer, Pennsylvania, United States"
94,161,Sophie's Choice,William Styron,1979,American,English,500-600,169481,778,493,"Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy","Addiction, Friendship, Guilt, Holocaust, Love, Mental illness, Parenthood, Psychology & Mental Health, Suicide, Survival, Trauma","Brooklyn, New York, United States"
95,73,Possession,A. S. Byatt,1990,British,English,500-700,186000,798,477,"Books About Books, Fiction, Historical fiction, Literary Fiction, Literary Letters, Mystery, Postmodern","Academia, Manuscripts, Obsession, Research, Victorian, letters, relationships, secrets","England, France, London, Victorian Era, Yorkshire"
96,3457,Tales of the City,Armistead Maupin,1978,American,English,200-400,105000,811,473,"Contemporary, Cultural, Fiction, Realistic Fiction, Social & Cultural Fiction","Community, Friendship, Interpersonal relations, Lgbtq+, Self-discovery, Society, relationships, secrets","California, San Francisco, United States"
97,545,A Suitable Boy,Vikram Seth,1993,Indian,English,1349-1500,591554,815,472,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Sagas, Social & Cultural Fiction","Education, Family, Friendship, Love, Marriage, Politics, class, tradition","Brahmpur, India, Uttar Pradesh"
98,2264,Outlander,Diana Gabaldon,1991,American,English,850,305000,817,471,"Adventure, Fantasy, Fiction, Historical fiction, Romance, Speculative Fiction","Love, Medicine, Time travel, War, conflict, relationships","France, Scotland, United States"
99,2011,Gone Girl,Gillian Flynn,2012,American,English,400-500,145000,818,471,"Fiction, Literary Fiction, Mystery, Psychological, Thriller & Suspense","Deception, Diaries, Disappearance, Infidelity, Manipulation, Marriage, Psychopathy, Trust, relationships","Media, Missouri, New York, North Carthage, United States"
